date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:42:44	5045/5045	---M--	200	added ('OK')	image/png	etag:%22c6610c5ba8123ab78789b6143aeee33e%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/egyptian/g22.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/egyptian/g22.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:42:45	8471/8471	---M--	200	added ('OK')	image/png	etag:%2270b4423b5a88391ea024501918ccaa58%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/egyptian/big/g22.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/egyptian/big/g22.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:42:45	4911/4911	---M--	200	added ('OK')	image/png	etag:%22a95cb1f0597f41ef3a4b9a953d0d2584%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/hun/g22.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/hun/g22.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:42:45	8422/8422	---M--	200	added ('OK')	image/png	etag:%22c8096f767d07c3f77665863d0a697da6%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/hun/big/g22.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/hun/big/g22.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:42:46	5123/5123	---M--	200	added ('OK')	image/png	etag:%22451cc750283f2c64654bdd01cc524be4%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/spartan/g22.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/spartan/g22.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:42:46	9824/9824	---M--	200	added ('OK')	image/png	etag:%221ea6d10948e0c45e6e5a7b688e06bbf8%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/spartan/big/g22.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/spartan/big/g22.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:42:46	3978/3978	---M--	200	added ('OK')	image/png	etag:%22aeb95ad09ef6a6f49afb5c0c13bed48e%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/roman/g23.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/roman/g23.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:42:47	6646/6646	---M--	200	added ('OK')	image/png	etag:%22fd51f4ca79a922a5b0e3bbeef9b668ff%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/roman/big/g23.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/roman/big/g23.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:42:47	4010/4010	---M--	200	added ('OK')	image/png	etag:%22e1073e7708b97c0ab2323027a86550ad%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/teuton/g23.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/teuton/g23.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:42:47	6716/6716	---M--	200	added ('OK')	image/png	etag:%22919ed1aac0e990a024d8e8f10eff96dc%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/teuton/big/g23.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/teuton/big/g23.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
